Countries,"No, not that I am aware of","Not yet, but this is currently being developed",Yes - these were developed before my team began using AI for MERL tasks or projects,Yes - these were developed after my team began using AI for MERL tasks or projects
Austria,1,0,0,0
Poland,0,1,0,0
UK,1,0,0,0
Italy,0,0,1,0
Switzerland,1,0,0,1
USA,1,1,5,1
South Africa,0,0,0,0
Barbados,0,1,0,0
Luxembourg,1,0,1,0
The Netherlands,1,0,0,0
Nepal,0,0,1,0
Spain,1,1,0,0
Kosovo,1,0,0,0
United Kingdom,1,2,0,1
Central Asia,1,0,0,0
Norway,0,1,0,0
Kenya,0,1,0,0
Ukraine,2,0,0,0
Israel,0,1,0,0
Ghana,1,0,0,0
Finland,0,0,0,1
Canada,1,0,0,1
Belize,0,0,0,1
Japan,0,0,1,0
Nigeria,1,0,0,0
Cote d'Ivoire,1,0,0,0
Zambia,1,0,0,0
Pakistan,2,0,0,0
Egypt,0,1,0,0
Uganda,1,0,0,0
Lebanon,0,0,0,1
Germany,0,1,0,0
India,1,0,0,0
Portugal,1,0,0,0
Belgium,0,0,1,0
Senegal,0,1,0,0
France,2,2,0,0
Ireland,0,1,0,0
Lithuania,1,0,0,0
jordan,1,0,0,0
Australia,0,0,2,0
New Zealand,1,0,0,0
Kenya,0,1,0,0
Japan,0,0,1,0